10                                                         
10000     Doorman Elevator Fitness_Center Cats_Allowed D...
100004    Laundry_In_Building Dishwasher Hardwood_Floors...
100007                               Hardwood_Floors No_Fee
100013                                              Pre-War
Name: features, dtype: object
((49352, 217), (74659, 217))
[0]	train-mlogloss:1.07834	test-mlogloss:1.07879
Multiple eval metrics have been passed: 'test-mlogloss' will be used for early stopping.

Will train until test-mlogloss hasn't improved in 20 rounds.
[265]	train-mlogloss:0.48548	test-mlogloss:0.553642
[266]	train-mlogloss:0.485095	test-mlogloss:0.553552
[267]	train-mlogloss:0.484776	test-mlogloss:0.553424
[268]	train-mlogloss:0.484509	test-mlogloss:0.553295
[269]	train-mlogloss:0.484095	test-mlogloss:0.55315
[270]	train-mlogloss:0.483745	test-mlogloss:0.553053
[271]	train-mlogloss:0.483476	test-mlogloss:0.552911
[272]	train-mlogloss:0.483172	test-mlogloss:0.552846
[273]	train-mlogloss:0.482773	test-mlogloss:0.552713
[274]	train-mlogloss:0.482397	test-mlogloss:0.552574
[275]	train-mlogloss:0.482067	test-mlogloss:0.552505
[276]	train-mlogloss:0.481795	test-mlogloss:0.552422
[277]	train-mlogloss:0.481614	test-mlogloss:0.552377
[278]	train-mlogloss:0.481415	test-mlogloss:0.552278
[279]	train-mlogloss:0.481092	test-mlogloss:0.552202
[280]	train-mlogloss:0.480824	test-mlogloss:0.552111
[281]	train-mlogloss:0.480633	test-mlogloss:0.552042
[282]	train-mlogloss:0.480364	test-mlogloss:0.551942
[283]	train-mlogloss:0.48	test-mlogloss:0.551858
[284]	train-mlogloss:0.479679	test-mlogloss:0.551751
[285]	train-mlogloss:0.479399	test-mlogloss:0.551657
[286]	train-mlogloss:0.479	test-mlogloss:0.551505
[287]	train-mlogloss:0.478658	test-mlogloss:0.551428
[288]	train-mlogloss:0.478332	test-mlogloss:0.55132
[289]	train-mlogloss:0.478004	test-mlogloss:0.551245
[290]	train-mlogloss:0.477766	test-mlogloss:0.551171
[291]	train-mlogloss:0.477466	test-mlogloss:0.551097
[292]	train-mlogloss:0.477155	test-mlogloss:0.551025
[293]	train-mlogloss:0.476834	test-mlogloss:0.550936
[294]	train-mlogloss:0.476616	test-mlogloss:0.550862
[295]	train-mlogloss:0.476307	test-mlogloss:0.550817
[296]	train-mlogloss:0.476016	test-mlogloss:0.550692
[297]	train-mlogloss:0.475704	test-mlogloss:0.550553
[298]	train-mlogloss:0.47541	test-mlogloss:0.550496
[299]	train-mlogloss:0.475228	test-mlogloss:0.550417
[300]	train-mlogloss:0.474972	test-mlogloss:0.550341
[301]	train-mlogloss:0.474674	test-mlogloss:0.550247
[302]	train-mlogloss:0.474304	test-mlogloss:0.550177
[303]	train-mlogloss:0.473959	test-mlogloss:0.550068
[304]	train-mlogloss:0.473734	test-mlogloss:0.550037
[305]	train-mlogloss:0.473558	test-mlogloss:0.549952
[306]	train-mlogloss:0.473303	test-mlogloss:0.549892
[307]	train-mlogloss:0.472996	test-mlogloss:0.5498
[308]	train-mlogloss:0.472681	test-mlogloss:0.549751
[309]	train-mlogloss:0.472413	test-mlogloss:0.54966
[310]	train-mlogloss:0.472068	test-mlogloss:0.54955
[311]	train-mlogloss:0.471818	test-mlogloss:0.549489
[312]	train-mlogloss:0.471555	test-mlogloss:0.549416
[313]	train-mlogloss:0.471205	test-mlogloss:0.549278
[314]	train-mlogloss:0.470899	test-mlogloss:0.5492
[315]	train-mlogloss:0.470633	test-mlogloss:0.549091
[316]	train-mlogloss:0.470315	test-mlogloss:0.548983
[317]	train-mlogloss:0.470076	test-mlogloss:0.548899
[318]	train-mlogloss:0.469715	test-mlogloss:0.548774
[319]	train-mlogloss:0.469467	test-mlogloss:0.548721
[320]	train-mlogloss:0.469188	test-mlogloss:0.548681
[321]	train-mlogloss:0.468954	test-mlogloss:0.548624
[322]	train-mlogloss:0.468749	test-mlogloss:0.548572
[323]	train-mlogloss:0.468513	test-mlogloss:0.548545
[324]	train-mlogloss:0.468233	test-mlogloss:0.548491
[325]	train-mlogloss:0.467958	test-mlogloss:0.54841
[326]	train-mlogloss:0.467638	test-mlogloss:0.548288
[327]	train-mlogloss:0.467405	test-mlogloss:0.548277
[328]	train-mlogloss:0.46726	test-mlogloss:0.548236
[329]	train-mlogloss:0.466997	test-mlogloss:0.548175
[330]	train-mlogloss:0.466727	test-mlogloss:0.548097
[331]	train-mlogloss:0.466497	test-mlogloss:0.548048
[332]	train-mlogloss:0.466225	test-mlogloss:0.548037
[333]	train-mlogloss:0.465956	test-mlogloss:0.547968
[334]	train-mlogloss:0.465734	test-mlogloss:0.547895
[335]	train-mlogloss:0.465491	test-mlogloss:0.547811
[336]	train-mlogloss:0.465168	test-mlogloss:0.547717
[337]	train-mlogloss:0.464878	test-mlogloss:0.547702
[338]	train-mlogloss:0.46457	test-mlogloss:0.547657
[339]	train-mlogloss:0.464333	test-mlogloss:0.54763
[340]	train-mlogloss:0.464144	test-mlogloss:0.547578
[341]	train-mlogloss:0.463929	test-mlogloss:0.547571
[342]	train-mlogloss:0.463666	test-mlogloss:0.547521
[343]	train-mlogloss:0.463401	test-mlogloss:0.547495
[344]	train-mlogloss:0.463178	test-mlogloss:0.547412
[345]	train-mlogloss:0.463012	test-mlogloss:0.547354
[346]	train-mlogloss:0.462744	test-mlogloss:0.547292
[347]	train-mlogloss:0.462542	test-mlogloss:0.547243
[348]	train-mlogloss:0.462319	test-mlogloss:0.547172
[349]	train-mlogloss:0.462052	test-mlogloss:0.547144
[350]	train-mlogloss:0.461827	test-mlogloss:0.547102
[351]	train-mlogloss:0.461594	test-mlogloss:0.547051
[352]	train-mlogloss:0.461287	test-mlogloss:0.546985
[353]	train-mlogloss:0.461101	test-mlogloss:0.546937
[354]	train-mlogloss:0.460906	test-mlogloss:0.546887
[355]	train-mlogloss:0.460595	test-mlogloss:0.546814
[356]	train-mlogloss:0.460355	test-mlogloss:0.546751
[357]	train-mlogloss:0.460131	test-mlogloss:0.546676
[358]	train-mlogloss:0.459936	test-mlogloss:0.546605
