(49352, 15)
(74659, 14)
10                                                         
10000     Doorman Elevator Fitness_Center Cats_Allowed D...
100004    Laundry_In_Building Dishwasher Hardwood_Floors...
100007                               Hardwood_Floors No_Fee
100013                                              Pre-War
Name: features, dtype: object
((49352, 217), (74659, 217))
[0]	train-mlogloss:1.04062	test-mlogloss:1.04178
Multiple eval metrics have been passed: 'test-mlogloss' will be used for early stopping.

Will train until test-mlogloss hasn't improved in 20 rounds.
[313]	train-mlogloss:0.370015	test-mlogloss:0.551558
[314]	train-mlogloss:0.369665	test-mlogloss:0.551577
[315]	train-mlogloss:0.369306	test-mlogloss:0.551458
[316]	train-mlogloss:0.368777	test-mlogloss:0.551453
[317]	train-mlogloss:0.368369	test-mlogloss:0.551545
[318]	train-mlogloss:0.367907	test-mlogloss:0.551466
[319]	train-mlogloss:0.367532	test-mlogloss:0.551525
[320]	train-mlogloss:0.367136	test-mlogloss:0.551451
[321]	train-mlogloss:0.366453	test-mlogloss:0.551508
[322]	train-mlogloss:0.365978	test-mlogloss:0.551485
[323]	train-mlogloss:0.365566	test-mlogloss:0.551466
[324]	train-mlogloss:0.365135	test-mlogloss:0.551525
[325]	train-mlogloss:0.364663	test-mlogloss:0.551407
[326]	train-mlogloss:0.364082	test-mlogloss:0.551356
[327]	train-mlogloss:0.363717	test-mlogloss:0.551248
[328]	train-mlogloss:0.363358	test-mlogloss:0.551255
[329]	train-mlogloss:0.362893	test-mlogloss:0.551156
[330]	train-mlogloss:0.36241	test-mlogloss:0.551091
[331]	train-mlogloss:0.361977	test-mlogloss:0.551183
[332]	train-mlogloss:0.361618	test-mlogloss:0.551132
[333]	train-mlogloss:0.361149	test-mlogloss:0.551215
[334]	train-mlogloss:0.360792	test-mlogloss:0.551242
[335]	train-mlogloss:0.360313	test-mlogloss:0.551107
[336]	train-mlogloss:0.360046	test-mlogloss:0.551101
[337]	train-mlogloss:0.359626	test-mlogloss:0.551109
[338]	train-mlogloss:0.359218	test-mlogloss:0.551095
[339]	train-mlogloss:0.358781	test-mlogloss:0.551063
[340]	train-mlogloss:0.358417	test-mlogloss:0.551152
[341]	train-mlogloss:0.35794	test-mlogloss:0.55115
[342]	train-mlogloss:0.357678	test-mlogloss:0.551138
[343]	train-mlogloss:0.357154	test-mlogloss:0.551133
[344]	train-mlogloss:0.356827	test-mlogloss:0.551098
[345]	train-mlogloss:0.356486	test-mlogloss:0.551059
[346]	train-mlogloss:0.356026	test-mlogloss:0.551033
[347]	train-mlogloss:0.355777	test-mlogloss:0.551063
[348]	train-mlogloss:0.355316	test-mlogloss:0.551115
[349]	train-mlogloss:0.35493	test-mlogloss:0.551173
[350]	train-mlogloss:0.354528	test-mlogloss:0.551154
[351]	train-mlogloss:0.35418	test-mlogloss:0.551084
[352]	train-mlogloss:0.353656	test-mlogloss:0.551163
[353]	train-mlogloss:0.353276	test-mlogloss:0.551178
[354]	train-mlogloss:0.352867	test-mlogloss:0.551221
[355]	train-mlogloss:0.352427	test-mlogloss:0.551206
[356]	train-mlogloss:0.352037	test-mlogloss:0.551199
[357]	train-mlogloss:0.351628	test-mlogloss:0.551148
[358]	train-mlogloss:0.351246	test-mlogloss:0.551084
[359]	train-mlogloss:0.351037	test-mlogloss:0.551156
[360]	train-mlogloss:0.350729	test-mlogloss:0.551125
[361]	train-mlogloss:0.350321	test-mlogloss:0.551157
[362]	train-mlogloss:0.349892	test-mlogloss:0.551161
[363]	train-mlogloss:0.349404	test-mlogloss:0.551176
[364]	train-mlogloss:0.349087	test-mlogloss:0.55109
[365]	train-mlogloss:0.348569	test-mlogloss:0.551107
[366]	train-mlogloss:0.34816	test-mlogloss:0.551039
Stopping. Best iteration:
[346]	train-mlogloss:0.356026	test-mlogloss:0.551033

[0.55103850039735747]
